Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
200,1771534145586,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,35,38.095237731933594,42.85714340209961,33.333335876464844,28.571430206298828,35,42.85714340209961,42.85714340209961,40,45,40.90909194946289,8.49531078338623,25769803776,7516192768,14793719808,5823070208
208,1771534145786,4,4,4,4,4,4,4,4,4,4,4,4,2.1999998092651367,1.5,40,40,2.1999998092651367,1.5,1.5,2.1999998092651367,1.5,2.1999998092651367,2.1999998092651367,1.5,42.105262756347656,40,42.85714340209961,35,33.333335876464844,30.000001907348633,50,47.619049072265625,40,47.619049072265625,38.095237731933594,36.842105865478516,8.49531078338623,25769803776,7516192768,14793113600,5823070208
208,1771534145994,4,4,4,4,4,4,4,4,4,4,4,4,2.1999998092651367,1.5,40,40,2.1999998092651367,1.5,1.5,2.1999998092651367,1.5,2.1999998092651367,2.1999998092651367,1.5,40.90909194946289,30.000001907348633,35,35,35,28.571430206298828,45,40,47.619049072265625,45,35,38.095237731933594,8.49531078338623,25769803776,7516192768,14799749120,5823070208
207,1771534146203,4,4,4,4,4,4,4,4,4,4,4,4,2.1999998092651367,1.5,40,40,2.1999998092651367,1.5,1.5,2.1999998092651367,1.5,2.1999998092651367,2.1999998092651367,1.5,40,38.095237731933594,38.095237731933594,40.90909194946289,28.571430206298828,33.333335876464844,40.90909194946289,40,45,47.619049072265625,40.90909194946289,33.333335876464844,8.49531078338623,25769803776,7516192768,14778941440,5823070208
210,1771534146410,4,4,4,4,4,4,4,4,4,4,4,4,2.1999998092651367,1.5,40,40,2.1999998092651367,1.5,1.5,2.1999998092651367,1.5,2.1999998092651367,2.1999998092651367,1.5,42.85714340209961,38.095237731933594,33.333335876464844,35,30.000001907348633,25,47.619049072265625,52.38095474243164,45.45454788208008,42.85714340209961,35,38.095237731933594,16.209524154663086,25769803776,7516192768,14778941440,5823070208
209,1771534146621,4,4,4,4,4,4,4,4,4,4,4,4,2.1999998092651367,1.5,40,40,2.1999998092651367,1.5,1.5,2.1999998092651367,1.5,2.1999998092651367,2.1999998092651367,1.5,40,38.095237731933594,42.85714340209961,38.095237731933594,38.095237731933594,38.095237731933594,42.85714340209961,52.38095474243164,42.85714340209961,45,40,38.095237731933594,16.209524154663086,25769803776,7516192768,14728019968,5823070208
205,1771534146830,4,4,4,4,4,4,4,4,4,4,4,4,59.17781448364258,67.87104797363281,60.046875,64.96875,65.6989517211914,64.76649475097656,59.50090408325195,67.166259765625,66.28299713134766,67.83013153076172,65.46273803710938,64.20588684082031,52.38095474243164,33.333335876464844,42.85714340209961,42.85714340209961,33.333335876464844,28.571430206298828,50,50,47.619049072265625,45.45454788208008,38.095237731933594,40,16.209524154663086,25769803776,7516192768,14727954432,5823070208
208,1771534147036,4,4,4,4,4,4,4,4,4,4,4,4,59.17781448364258,67.87104797363281,60.046875,64.96875,65.6989517211914,64.76649475097656,59.50090408325195,67.166259765625,66.28299713134766,67.83013153076172,65.46273803710938,64.20588684082031,40,45,35,38.095237731933594,33.333335876464844,33.333335876464844,47.619049072265625,36.842105865478516,50,50,40.90909194946289,42.85714340209961,16.209524154663086,25769803776,7516192768,14727905280,5823070208
205,1771534147245,4,4,4,4,4,4,4,4,4,4,4,4,59.17781448364258,67.87104797363281,60.046875,64.96875,65.6989517211914,64.76649475097656,59.50090408325195,67.166259765625,66.28299713134766,67.83013153076172,65.46273803710938,64.20588684082031,47.619049072265625,40.90909194946289,40,40,33.333335876464844,30.000001907348633,47.619049072265625,45.45454788208008,47.619049072265625,54.54545593261719,40,40.90909194946289,16.209524154663086,25769803776,7516192768,14752612352,5823070208
202,1771534147450,4,4,4,4,4,4,4,4,4,4,4,4,59.17781448364258,67.87104797363281,60.046875,64.96875,65.6989517211914,64.76649475097656,59.50090408325195,67.166259765625,66.28299713134766,67.83013153076172,65.46273803710938,64.20588684082031,40,31.57894515991211,40.90909194946289,38.095237731933594,35,28.571430206298828,45,45,47.619049072265625,36.842105865478516,38.095237731933594,36.842105865478516,29.883663177490234,25769803776,7516192768,14752612352,5823070208
