Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
207,1771534863719,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,15.000000953674316,0,0,10,9.523809432983398,0,0,0,0,0,0,7.953622341156006,25769803776,7516192768,14850883584,5823070208
209,1771534863928,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,18.18181800842285,0,0,9.523809432983398,5,0,0,0,0,0,0,7.953622341156006,25769803776,7516192768,14850867200,5823070208
208,1771534864138,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,22.72727394104004,10.526315689086914,0,0,5,9.090909004211426,0,0,0,0,0,0,7.953622341156006,25769803776,7516192768,14851145728,5823070208
209,1771534864346,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,21.052631378173828,27.272727966308594,4.545454502105713,0,23.809524536132813,10,0,0,0,0,0,0,8.921082496643066,25769803776,7516192768,14859730944,5823070208
201,1771534864556,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,27.272727966308594,15.000000953674316,0,0,13.636363983154297,13.636363983154297,0,0,0,0,0,0,8.921082496643066,25769803776,7516192768,14853816320,5823070208
206,1771534864758,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,21.052631378173828,15.000000953674316,5,0,5.263157844543457,5,0,0,0,0,19.047618865966797,10.526315689086914,8.921082496643066,25769803776,7516192768,14861860864,5823070208
205,1771534864965,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,19.047618865966797,0,4.761904716491699,9.523809432983398,5,0,0,0,0,0,4.545454502105713,8.921082496643066,25769803776,7516192768,14862368768,5823070208
206,1771534865171,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,45,38.095237731933594,0,0,35,28.571430206298828,0,0,0,0,0,0,8.921082496643066,25769803776,7516192768,15033843712,5823070208
208,1771534865378,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,15.000000953674316,0,4.545454502105713,9.523809432983398,0,0,0,0,0,5,0,8.049840927124023,25769803776,7516192768,15033892864,5823070208
208,1771534865587,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,15.000000953674316,0,0,10,4.761904716491699,0,0,0,0,0,0,8.049840927124023,25769803776,7516192768,15033581568,5823070208
205,1771534865796,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,19.047618865966797,0,0,9.523809432983398,4.761904716491699,0,0,0,0,0,0,8.049840927124023,25769803776,7516192768,15033614336,5823070208
207,1771534866003,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,19.047618865966797,0,0,15.000000953674316,10,0,0,0,0,0,0,8.049840927124023,25769803776,7516192768,15033876480,5823070208
208,1771534866211,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,10,0,0,14.285715103149414,4.761904716491699,0,0,0,0,0,0,8.049840927124023,25769803776,7516192768,14904492032,5823070208
207,1771534866420,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,15.000000953674316,0,0,13.636363983154297,4.761904716491699,0,0,0,0,0,0,7.30369234085083,25769803776,7516192768,14859059200,5823070208
209,1771534866628,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,23.809524536132813,0,0,9.523809432983398,4.761904716491699,0,0,0,0,0,0,7.30369234085083,25769803776,7516192768,14859124736,5823070208
207,1771534866838,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,22.72727394104004,18.18181800842285,0,0,5.263157844543457,4.761904716491699,0,0,0,0,0,0,7.30369234085083,25769803776,7516192768,14859124736,5823070208
